category,supplier_sku,description,size,colour,length_mm,tier2_price_ex_gst,rrp,carton_qty
C POST,FNPWG18,Colorbond® CPost 1800 WOODLAND GREY,1800,WOODLAND GREY,1800,7.09,,
C POST,FNPWG21,Colorbond® CPost 2100 WOODLAND GREY,2100,WOODLAND GREY,2100,8.26,,
C POST,FNPWG24,Colorbond® CPost 2400 WOODLAND GREY,2400,WOODLAND GREY,2400,8.56,,144
C POST,FNPWG27,Colorbond® CPost 2700 WOODLAND GREY,2700,WOODLAND GREY,2700,9.63,,96
C POST,,Colorbond® CPost 3000 Woodland Grey,3000,WOODLAND GREY,3000,11.8,,
Cap,CCAPBA,Coloured CPost Caps BASALT - Double/Full,,BASALT,60,2.25,,
Cap,CCAPBG,Coloured CPost Caps BLUE GUM - Double/Full,,BLUE GUM,60,2.25,,
Cap,CCAPCG,Coloured CPost Caps COTTAGE GREEN - Double/Full,,COTTAGE GREEN,60,2.25,,
Cap,CCAPDO,Coloured CPost Caps DEEP OCEAN - Double/Full,,DEEP OCEAN,60,2.25,,
Cap,CCAPDM,Coloured CPost Caps DOMAIN - Double/Full,,DOMAIN,60,2.25,,
Cap,CCAPDU,Coloured CPost Caps DUNE - Double/Full,,DUNE,60,2.25,,
Cap,CCAPEH,Coloured CPost Caps EVENING HAZE - Double/Full,,EVENING HAZE,60,2.25,,
Cap,CCAPIS,Coloured CPost Caps IRONSTONE - Double/Full,,IRONSTONE,60,2.25,,
Cap,CCAPJA,Coloured CPost Caps JASPER - Double/Full,,JASPER,60,2.22,,
Cap,CCAPMR,Coloured CPost Caps MANOR RED - Double/Full,,MANOR RED,60,2.25,,
Cap,CCAPMO,Coloured CPost Caps MONUMENT - Double/Full,,MONUMENT,60,2.25,,
Cap,CCAPNS,Coloured CPost Caps NIGHT SKY - Double/Full,,NIGHT SKY,60,2.25,,
Cap,OrigCCAPNS,ORIGINAL Double CPost Caps - NIGHT SKY,,NIGHT SKY,60,2.25,,
Cap,CCAPPE,Coloured CPost Caps PALE EUCALYPT - Double/Full,,PALE EUCALYPT,60,2.25,,
Cap,CCAPPB,Coloured CPost Caps PAPERBARK - Double/Full,,PAPERBARK,60,2.25,,
Cap,CCAPRS,Coloured CPost Caps RIVERSAND - Double/Full,,RIVERSAND,60,2.25,,
Cap,CCAPSG,Coloured CPost Caps SHALE GREY - Double/Full,,SHALE GREY,60,2.25,,
Cap,CCAPSM,Coloured CPost Caps SURFMIST - Double/Full,,SURFMIST,60,2.25,,
Cap,CCAPWI,Coloured CPost Caps WILDERNESS - Double/Full,,WILDERNESS,60,2.25,,
Cap,CCAPWS,Coloured CPost Caps WINDSPRAY - Double/Full,,WINDSPRAY,60,2.25,,
Cap,CCAPWG,Coloured CPost Caps WOODLAND GREY - Double/Full,,WOODLAND GREY,60,2.25,,
Custom,,"PREFAB Aluminium - Suit Colorbond Infills (SWING GATE) - Fully Welded-NO Assembly Required - (Overall Opening Sizes - Height, Width, Quantity & Colour Required in Comments Section) 2.5-4 weeks lead time - Prepayment Required at time of order",,,,1.0,,
Full panel,SKU-230425015257DUNE,1500 Colorbond Standard Panel 2365,2365,,,79.36,,
Full panel,SKU-230425002624BSTD,1800 Colorbond Standard Panel 2365 BASALT,,BASALT,,82.9,,
Full panel,SKU-230425002624BR,1800 Colorbond Raked Panel 2365 BASALT,,BASALT,,92.2,,
Full panel,SKU-230425002624BR2700,1800 Raked Colorbond Panel 2365 with 2700 Posts BASALT,2365,BASALT,,94.34,,
Full panel,SKU-230425002624BSTD2700,1800 Stepped Colorbond Panel 2365 with 2700 posts BASALT,2365,BASALT,,85.04,,
Full panel,SKU-230425002624BSTD2100,2100 Colorbond Standard Panel 2365 BASALT,2365,BASALT,,94.34,,
Full panel,SKU-230425002624BSTD21500,1500 Colorbond Standard Panel 2365 BASALT,2365,BASALT,,78.69,,
Full panel,SKU-230425015258,1800 Colorbond Std Panel 2365 COTTAGE GREEN,2365,COTTAGE GREEN,1800,83.0,,
Full panel,,1800 Standard Colorbond® Panel 2365 DOMAIN,2365,DOMAIN,2.35,82.9,,
Full panel,SKU-220425050931DUNE,2100 Standard Colorbond Panel 2365 DUNE,2100,DUNE,2365,94.34,,
Full panel,SKU-230425015257DUNEStd1800,1800 Colorbond Std Panel 2365 DUNE,2365,DUNE,,82.9,,
Full panel,SKU-230425015257DUNER1800,1800 Colorbond Raked Panel 2365 DUNE,2365,DUNE,,92.2,,
