system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 1500h x 1670w WOODLAND GREY,,Woodland Grey,1500,157.1,172.81,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Woodland Grey,ratified,,CB D/Gate Kit 1500h x 3325w WOODLAND GREY,,Woodland Grey,1500,250.14,275.15,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 1800h x 910w WOODLAND GREY,,Woodland Grey,1800,141.9,156.09,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 1800h x 1670w WOODLAND GREY,,Woodland Grey,1800,166.64,183.3,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Woodland Grey,ratified,,CB D/Gate Kit 1800h x 3325w WOODLAND GREY,,Woodland Grey,1800,269.22,296.14,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 2100h x 910w WOODLAND GREY,,Woodland Grey,2100,160.78,176.86,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Woodland Grey,ratified,,CB S/Gate Kit 2100h x 1670w WOODLAND GREY,,Woodland Grey,2100,188.56,207.42,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Woodland Grey,ratified,,CB D/Gate Kit 2100h x 3325w WOODLAND GREY,,Woodland Grey,2100,300.22,330.24,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Shale Grey,ratified,,CB S/Gate Kit 2100h x 1670w SHALE GREY,,Shale Grey,2100,192.14,211.35,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 1200h x 910w IRONSTONE,,Ironstone,1200,141.57,155.73,
colorbond,Metroll,Single gate,Gate,Colorbond Single Gate Ironstone,ratified,,CB S/Gate Kit 1200h x 1670w IRONSTONE,,Ironstone,1200,162.02,178.22,
colorbond,Metroll,Double gate,Gate,Colorbond Double Gate Ironstone,ratified,,CB D/Gate Kit 1200h x 3325w IRONSTONE,,Ironstone,1200,256.58,282.24,
